27f8e5b5c4a5 | 2025-07-13 22:09:38.391 | info | Starting Messaging Service
27f8e5b5c4a5 | 2025-07-13 22:09:38.391 | info | Messaging Service running on port :3002
27f8e5b5c4a5 | 2025-07-13 22:09:38.391 | info | Available endpoints:
27f8e5b5c4a5 | 2025-07-13 22:09:38.391 | info |   - SendEmail (gRPC): sends emails via SMTP or logs in development
a579f09b5f92 | 2025-07-13 22:16:21.400 | info | Starting Messaging Service
a579f09b5f92 | 2025-07-13 22:16:21.402 | info | Messaging Service running on port :3002
a579f09b5f92 | 2025-07-13 22:16:21.402 | info | Available endpoints:
a579f09b5f92 | 2025-07-13 22:16:21.402 | info |   - SendEmail (gRPC): sends emails via SMTP or logs in development
cb7f50fb8661 | 2025-07-14 09:40:02.405 | info | Starting Messaging Service
cb7f50fb8661 | 2025-07-14 09:40:02.407 | info | Messaging Service running on port :3002
cb7f50fb8661 | 2025-07-14 09:40:02.407 | info | Available endpoints:
cb7f50fb8661 | 2025-07-14 09:40:02.407 | info |   - SendEmail (gRPC): sends emails via SMTP or logs in development
8281cce29cc6 | 2025-07-14 10:12:31.786 | info | Starting Messaging Service
8281cce29cc6 | 2025-07-14 10:12:31.786 | info | Messaging Service running on port :3002
8281cce29cc6 | 2025-07-14 10:12:31.786 | info | Available endpoints:
8281cce29cc6 | 2025-07-14 10:12:31.786 | info |   - SendEmail (gRPC): sends emails via SMTP or logs in development
2e4f7af8358b | 2025-07-14 10:16:04.085 | info | Starting Messaging Service
2e4f7af8358b | 2025-07-14 10:16:04.086 | info | Messaging Service running on port :3002
2e4f7af8358b | 2025-07-14 10:16:04.086 | info | Available endpoints:
2e4f7af8358b | 2025-07-14 10:16:04.086 | info |   - SendEmail (gRPC): sends emails via SMTP or logs in development
260cf2c2e79c | 2025-07-23 18:23:37.765 | info | Starting Messaging Service
260cf2c2e79c | 2025-07-23 18:23:37.766 | info | Messaging Service running on port :3002
260cf2c2e79c | 2025-07-23 18:23:37.766 | info | Available endpoints:
260cf2c2e79c | 2025-07-23 18:23:37.766 | info |   - SendEmail (gRPC): sends emails via SMTP or logs in development
cc0af8a73c26 | 2025-07-23 19:01:38.904 | info | Starting Messaging Service
cc0af8a73c26 | 2025-07-23 19:01:38.904 | info | Messaging Service running on port :3002
cc0af8a73c26 | 2025-07-23 19:01:38.905 | info | Available endpoints:
cc0af8a73c26 | 2025-07-23 19:01:38.905 | info |   - SendEmail (gRPC): sends emails via SMTP or logs in development
fa0f04f2c5a3 | 2025-08-02 19:10:47.344 | info | Starting Messaging Service
fa0f04f2c5a3 | 2025-08-02 19:10:47.344 | info | Messaging Service running on port :3002
fa0f04f2c5a3 | 2025-08-02 19:10:47.344 | info | Available endpoints:
fa0f04f2c5a3 | 2025-08-02 19:10:47.344 | info |   - SendEmail (gRPC): sends emails via SMTP or logs in development
2a2f68de3081 | 2025-08-02 19:17:49.837 | info | Starting Messaging Service
2a2f68de3081 | 2025-08-02 19:17:49.838 | info | Messaging Service running on port :3002
2a2f68de3081 | 2025-08-02 19:17:49.838 | info | Available endpoints:
2a2f68de3081 | 2025-08-02 19:17:49.838 | info |   - SendEmail (gRPC): sends emails via SMTP or logs in development
